118,1,Masculino,5 años en adelante,30 a 39 años,Manufactura,Regular,,,,Regular,Bueno,Bueno,Bueno,Bueno,Regular,Regular,Regular,Bueno,Bueno,Bueno,Bueno,,,,,,Dando seguimiento a los VALORES de ADS,Estar comprometido con los VALORES de ADS,
119,1,Masculino,5 años en adelante,20 a 29 años,Manufactura,Bueno,,,,,,,Regular,Bueno,Bueno,,,Regular,Bueno,Bueno,,Regular,,,,,HACIENDO PREGUNTAS MAS CLARAS Y PRECISAS ,HACIENDO PREGUNTAS MAS CLARAS Y PRECISAS ,
120,1,Masculino,Menos de 1 año,30 a 39 años,Cadena de Suministro,,Regular,,,Excelente,,Regular,Excelente,Regular,Regular,,Excelente,Bueno,,,,,,,,,-CAPACITACION A LOS NUEVOS INTEGRANTES  ,RECONOCER AL PERSONAL LOS LOGROS.,
121,1,Masculino,5 años en adelante,40 a 49 años,Manufactura,,Bueno,,,,,,Bueno,Bueno,Bueno,,,Excelente,,,,,,,,,"Promoviendo una cultura a los trabajadores, mejorando presentaciones, hay empresas que ya pagan mayor la zona. ",Cumpliendo con mis objetivos. ,
122,1,Masculino,5 años en adelante,30 a 39 años,Manufactura,,,,,,,,Bueno,Bueno,Bueno,,,,Bueno,Bueno,,,,,,,Ayuda al trabajador.,Haciendo mas trabajo.,
123,1,Masculino,5 años en adelante,30 a 39 años,Manufactura,,,,,,,,Bueno,Bueno,Bueno,,,Bueno,Bueno,Excelente,,,,,,,Sin comentarios.,Sin comentarios.,
124,1,Masculino,1 a 5 años,20 a 29 años,Manufactura,,,,,,,,Excelente,Excelente,Excelente,,,,,Excelente,,,,,,,Escuchar a los trabajadores.,Contribuyendo a la empresa. ,
125,1,Masculino,1 a 5 años,20 a 29 años,Manufactura,,,,,,,,Bueno,Excelente,Bueno,,,Excelente,Excelente,Excelente,,,,,,,Sin comentarios.,Sin comentarios.,
126,1,Masculino,1 a 5 años,20 a 29 años,Manufactura,,,,,,,,Excelente,Bueno,Bueno,,,Excelente,Bueno,Bueno,,,,,,,Sin comentarios.,Sin comentarios.,
127,1,Masculino,1 a 5 años,20 a 29 años,Manufactura,,,,,,,,,Bueno,Bueno,,,,,,,,,,,,Dar prestaciones. ,Haciendo mi trabajo. ,
128,1,Masculino,5 años en adelante,30 a 39 años,Manufactura,,,,,,,,Excelente,Regular,Bueno,,,Regular,Regular,Regular,,,,Malo,,,"Evaluar a los jefes para mejorar, capacitándolos como jefes lideres.","Con la comunicación y trabajo en equipo, pero desde arriba para dar un buen ejemplo. ",
129,1,Masculino,5 años en adelante,30 a 39 años,Manufactura,,,,,,,,Bueno,Bueno,Regular,,,,Regular,Regular,,,,,,,Sin comentarios.,Sin comentarios.,
130,1,Masculino,5 años en adelante,40 a 49 años,Capital Humano,,,,,,,,Bueno,Bueno,Bueno,,,,,,,,,,,Mejorar un poco en nominas. ,Prepararse mejor.,Trabajando y haciendo bien las cosas. ,
131,1,Masculino,5 años en adelante,30 a 39 años,Manufactura,,,,,,,,Bueno,Bueno,Regular,,,Bueno,Bueno,Bueno,,,,,,Se a quedado estancado de rotación. ,Cumpliendo con las actividades que realiza y tratar de mejorar. ,Asistiendo a las actividades y cumpliendo con mis obligaciones laborales.,
132,1,Masculino,5 años en adelante,40 a 49 años,Manufactura,Bueno,,,,,,,Bueno,Bueno,Bueno,,,Regular,Regular,,,,,,,,Sin comentarios.,Sin comentarios.,
133,1,Masculino,5 años en adelante,40 a 49 años,Manufactura,,,,,,,,,,,,,,,,,,,,,,Mostrar interés en la inconformidad del trabajador.,Tomando en cuenta las partes faltantes y que se valore de acuerdo a su trabajo. ,
134,1,Masculino,Menos de 1 año,20 a 29 años,Manufactura,Excelente,,,,,,,Excelente,Excelente,Bueno,,,Malo,Regular,Excelente,,,,,,Mal trato del encargado de almacén. ,Pedir mas opiniones al trabajador.,Dar mas punto de vista de que es lo que se hace.,
135,1,Masculino,5 años en adelante,40 a 49 años,Manufactura,,,,,,,,Excelente,Excelente,Bueno,,,Excelente,,,,,,,,,Seguir alimentando de información.,Cumpliendo con lo que se pide en tiempo y forma.,
136,1,Masculino,1 a 5 años,40 a 49 años,Manufactura,,,,,,,,Bueno,Bueno,Bueno,,,Bueno,Bueno,Bueno,,,,Regular,,,Dar soluciones a los problemas. ,Participando en las encuestas y apoyando. ,
137,1,Masculino,5 años en adelante,20 a 29 años,Manufactura,Bueno,,,,,,,Bueno,Bueno,Bueno,,,Bueno,Bueno,Excelente,,,,,,Se tiene apoyo del jefe de producción y gerente de planta. ,Mas preguntas abiertas.,"Con mejores resultados como persona, para ser mas eficiente y dar mejores resultados. ",
138,1,Masculino,5 años en adelante,30 a 39 años,Manufactura,Regular,,,,,,,Bueno,Bueno,Bueno,,,Bueno,Bueno,Bueno,,,,,,,Con preguntas abiertas para expresar opiniones en las distintas áreas. ,Contestando con honestidad las preguntas. ,
139,1,Masculino,5 años en adelante,30 a 39 años,Manufactura,,,,,,,,Excelente,Excelente,Bueno,,,Bueno,Bueno,Bueno,,,,,,,Tomar en cuenta los comentarios de la encuesta. ,Cuidar la instalaciones. ,
140,1,Masculino,5 años en adelante,50 en adelante,Manufactura,,,,,Bueno,,Bueno,Excelente,Bueno,Bueno,,,Bueno,Bueno,Bueno,,,,,,,"Cursos  motivaciones, reconocimientos para el trabajador.",Contribuir con nuevas ideas y participando en las actividades.,
141,1,Masculino,5 años en adelante,40 a 49 años,Manufactura,,,,,,,,Bueno,Bueno,Bueno,,,,Bueno,Bueno,,,,,,,seguir haciendo lo mismo.,Ser trasparentes en todo.,
142,1,Masculino,1 a 5 años,20 a 29 años,Manufactura,Bueno,,,,,,,Bueno,Bueno,Bueno,,,Bueno,Bueno,Bueno,,,,,,,Mas preguntas abiertas.,Tener mayor comunicación. ,
143,1,Masculino,5 años en adelante,30 a 39 años,Manufactura,Bueno,,,,,,,Bueno,Bueno,Regular,,,Regular,Bueno,Bueno,,,,,,,Dar seguimiento a los puntos críticos de la encuesta. ,Con una mejor planeación. ,
144,1,Masculino,5 años en adelante,30 a 39 años,Manufactura,Bueno,,,,,,,Bueno,Bueno,Bueno,,,Bueno,Bueno,Bueno,,,,,,,Sin comentarios.,Sin comentarios.,
145,1,Masculino,5 años en adelante,40 a 49 años,Manufactura,Bueno,,,,,,,,Bueno,Bueno,,,,,Bueno,,,,,,,Hacer con mas frecuencia las encuestas. ,Opinando. ,
